"cn.code","country","location","week","value"
"SF","South Africa","Nothern Cape",36,1.2329048850199
"SF","South Africa","Nothern Cape",37,1.21656864336853
"SF","South Africa","Nothern Cape",38,1.20224485747454
"SF","South Africa","Nothern Cape",39,1.19875579199574
"SF","South Africa","Nothern Cape",40,1.18908318807626
"SF","South Africa","Nothern Cape",41,1.14567982636221
"SF","South Africa","Nothern Cape",42,1.08795547635214
"SF","South Africa","Nothern Cape",43,1.03441924521006
"SF","South Africa","Nothern Cape",44,1.01763891916643
"SF","South Africa","Nothern Cape",45,0.983382249281212
"SF","South Africa","Nothern Cape",46,0.955281161793953
"SF","South Africa","Nothern Cape",47,0.895423340440927
"SF","South Africa","Nothern Cape",48,0.854175894255718
"SF","South Africa","Nothern Cape",49,0.811007211453675
"SF","South Africa","Nothern Cape",50,0.784489707166744
"SF","South Africa","Nothern Cape",51,0.75775184987959
"SF","South Africa","Nothern Cape",52,0.749437905441962
"SF","South Africa","Nothern Cape",53,0.721113843261243
"SF","South Africa","Western Cape",1,0.835193187914987
"SF","South Africa","Western Cape",2,0.806878235386447
"SF","South Africa","Western Cape",3,0.810255219853694
"SF","South Africa","Western Cape",4,0.79981311871031
"SF","South Africa","Western Cape",5,0.798806666256441
"SF","South Africa","Western Cape",6,0.799914022715964
"SF","South Africa","Western Cape",7,0.804008156817825
"SF","South Africa","Western Cape",8,0.814579245476938
"SF","South Africa","Western Cape",9,0.820783053105799
"SF","South Africa","Western Cape",10,0.851128071273497
"SF","South Africa","Western Cape",11,0.887071404671637
"SF","South Africa","Western Cape",12,0.932331904862214
"SF","South Africa","Western Cape",13,0.956317253557514
"SF","South Africa","Western Cape",14,0.978350524397218
"SF","South Africa","Western Cape",15,0.991273387468967
"SF","South Africa","Western Cape",16,1.00619879952157
"SF","South Africa","Western Cape",17,1.01633747955527
"SF","South Africa","Western Cape",18,1.02838424286962
"SF","South Africa","Western Cape",19,1.0379752570218
"SF","South Africa","Western Cape",20,1.05204903653391
"SF","South Africa","Western Cape",21,1.06431802700782
"SF","South Africa","Western Cape",22,1.08702290410022
"SF","South Africa","Western Cape",23,1.11041158838989
"SF","South Africa","Western Cape",24,1.13019671050752
"SF","South Africa","Western Cape",25,1.13937909177577
"SF","South Africa","Western Cape",26,1.14494581321012
"SF","South Africa","Western Cape",27,1.155334231635
"SF","South Africa","Western Cape",28,1.15951969187174
"SF","South Africa","Western Cape",29,1.16083744445044
"SF","South Africa","Western Cape",30,1.14826438316259
"SF","South Africa","Western Cape",31,1.14980120984624
"SF","South Africa","Western Cape",32,1.14253064041475
"SF","South Africa","Western Cape",33,1.13753602789306
"SF","South Africa","Western Cape",34,1.12002591651052
"SF","South Africa","Western Cape",35,1.11419673527367
"SF","South Africa","Western Cape",36,1.10318901703757
"SF","South Africa","Western Cape",37,1.09185923393072
"SF","South Africa","Western Cape",38,1.08413085366137
"SF","South Africa","Western Cape",39,1.08212609149528
"SF","South Africa","Western Cape",40,1.07393465415182
"SF","South Africa","Western Cape",41,1.05056115225401
"SF","South Africa","Western Cape",42,1.03233194755783
"SF","South Africa","Western Cape",43,1.02156138131337
"SF","South Africa","Western Cape",44,1.01993450584726
"SF","South Africa","Western Cape",45,1.01029610523322
"SF","South Africa","Western Cape",46,1.00566505481934
"SF","South Africa","Western Cape",47,0.981104932771127
"SF","South Africa","Western Cape",48,0.952566898277073
"SF","South Africa","Western Cape",49,0.915215396830004
"SF","South Africa","Western Cape",50,0.89136738739557
"SF","South Africa","Western Cape",51,0.86703859433504
"SF","South Africa","Western Cape",52,0.860552617553306
"SF","South Africa","Western Cape",53,0.837351987795946
